Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
CRBN 1 Orginal (16 mm),CRBN,$179.99,PBEFFECT,https://a8qh.short.gy/crbn1,2021,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,8.25,118,70%,5.77,12%,238,,,,,,
CRBN 1X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn1x14,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,7.87,118,70%,5.88,18%,243,Medium,1917,54.3,17%,35.4,22%
CRBN 1X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn1x16,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.11,124,94%,6.18,37%,244,Medium,1915,55.0,28%,34.9,13%
CRBN 2 Orignal (16 mm),CRBN,$179.99,PBEFFECT,https://a8qh.short.gy/crbn2,2021,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.75,4.25,7.94,109,13%,7.03,88%,236,,,,,,
CRBN 2X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn2x14,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,4.75,4.25,7.80,105,4%,6.88,83%,232,,,,,,
CRBN 2X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn2x16,2023,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,4.75,4.25,8.20,112,29%,7.75,100%,237,,,,,,
CRBN 3X Power Series (14 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/3x14,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.25,7.87,116,56%,6.39,52%,240,,,,,,
CRBN 3X Power Series (16 mm),CRBN,$229.99,PBEFFECT,https://a8qh.short.gy/crbn3x16,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,4.25,8.18,119,77%,6.79,79%,241,Medium,1920,54.9,24%,35.6,30%
TruFoam Genesis 1,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFG1,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.50,4.13,7.90,118,70%,5.51,5%,244,Very High,2036,55.8,52%,36.6,75%
TruFoam Genesis 2,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFG2,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.13,8.20,113,35%,6.70,74%,238,High,1992,55.5,40%,36.8,84%
