Company,Paddle,Core Thickness (mm),Condition,Price,Shape,Manufacturing Process,Surface Texture,Surface Material,Core Material,Spin RPM,Spin Percentile,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Swing Weight Percentile,Twist Weight,Twist Weight Percentile,Balance Point (cm),Balance Point Percentile,Serve Speed-MPH (Power),Power Percentile,Punch Volley Speed-MPH (Pop),Pop Percentile,Surface Hardness (Shore D)
ProKennex,Black Ace Pro,10,New,$250.00,Standard,Thermoformed,Peel Ply,Toray Carbon Fiber,Polypropylene Honeycomb,"1,848",32%,15.8,7.6,5.30,8.1,105,11%,6.17,46%,22.6,6%,54.5,53%,37.4,99%,88.7
ProKennex,Black Ace Pro,10,Used-3 months,$250.00,Standard,Hot Molded,Peel Ply,Toray Carbon Fiber,Polypropylene Honeycomb,"1,525",14%,15.8,7.6,5.30,8.1,105,11%,6.17,46%,22.6,6%,54.5,53%,37.4,99%,88.7
Prokennex,Pro Spin,11,New,$220.00,Standard,Unibody Edgeless,Grit,Composit with Submerged Strings,Polypropylene Honeycomb,"1,477",11%,15.7,7.6,5.12,7.6,,,,,,,,,,,
PROLITE,K2 Power,14,New,$180.00,Standard,Thermoformed,Grit,Toray Carbon Fiber,Polypropylene Honeycomb,"1,628",17%,15.7,8.1,4.75,7.8,101,7%,6.40,59%,22.7,8%,54.0,42%,33.6,22%,90.2
Proton,Series One-Type A,15,New,$280.00,Standard,Thermoformed,NanoTac,Carbon Fiber,Polypropylene Honeycomb,"2,276",93%,15.8,8.3,5.25,8.4,119,69%,7.20,94%,23.9,49%,54.8,63%,33.4,14%,92.8
Proton,Series One-Type B,15,New,$280.00,Elongated,Thermoformed,NanoTac,Carbon Fiber,Nomex Honeycomb,"2,336",99%,16.8,7.3,5.25,8.8,130,97%,6.55,68%,24.3,74%,56.1,93%,34.2,41%,92.0
Proton,Series Three,15.6,New,$240.00,$192.0,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,755",23%,16.5,7.5,5.38,8.2,123,87%,6.72,74%,24.5,81%,56.1,93%,33.7,25%,92.3
Proton,Series Two,16.2,New,$220.00,$176.0,Thermoformed,Grit,Carbon Fiber,Polypropylene Honeycomb,"1,818",29%,16.5,7.5,5.38,8.3,121,76%,5.98,34%,24.2,66%,53.1,28%,34.4,47%,93.0
ProXR,Connor Garnett,14,New,$209.99,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,163",78%,16.5,7.5,6.00,8.2,110,28%,5.52,11%,22.5,3%,54.1,44%,34.1,34%,88.2
ProXR,"Zane Navratil ""The Standard""",14,New,$209.99,Standard,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,260",91%,16.0,8.0,5.25,8.2,107,21%,6.92,90%,22.7,8%,54.6,55%,34.7,62%,89.0
Revolin,Revo Reach Control,16,New,$189.00,Elongated,Cold Layered,Grit,Flax & Hemp,Polypropylene Honeycomb,"1,056",1%,16.5,7.5,5.50,7.9,,,,,,,,,,,
Rokne,Republic 2.16 Standard,16,New,$209.99,Hybrid,Cold Layered,Grit,Mitsubishi T700 Carbon Fiber,Polypropylene Honeycomb,"1,176",6%,16.3,7.5,5.50,8.4,126,93%,6.50,65%,24.6,89%,52.7,20%,32.8,9%,91.2
Ronbus,EV1.16,16,New,$180.00,Elongated,Unibody Edgeless,Grit,Unknown,EVA Foam,"1,148",3%,16.4,7.4,5.25,8.1,117,58%,5.94,32%,23.8,41%,58.8,98%,34.6,55%,79.0
Ronbus,NOVA R1,16,New,$180.00,Elongated,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,729",20%,16.5,7.5,5.50,7.7,115,49%,5.72,20%,24.5,81%,55.2,74%,34.8,64%,89.2
Ronbus,NOVA R3,16,New,$180.00,Elongated,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,732",21%,16.5,7.5,5.5,8.1,121,76%,6.10,40%,24.4,76%,55.4,79%,34.8,64%,89.8
Ronbus,Pulsar R1,16,New,$180.00,Elongated,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,915",45%,16.5,7.5,5.50,7.9,116,54%,6.21,50%,23.9,49%,54.7,58%,35.1,78%,89.7
Ronbus,Pulsar R3,16,New,$180.00,Elongated,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,970",50%,16.5,7.5,5.50,8.3,125,90%,6.47,64%,23.8,41%,54.0,42%,33.1,10%,89.2
Ronbus,R1.16,16,New,$120.00,Elongated,Cold Layered,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,307",95%,16.5,7.5,5.50,8.1,117,58%,6.20,48%,,,,,,,
Ronbus,XPRO EV1.T700.R2,16,New,$180.00,Elongated,Unibody Edgeless,Peel Ply-Fine,Toray Carbon Fiber,EVA Foam,"2,280",94%,16.5,7.5,5.50,7.9,112,36%,5.70,16%,23.5,29%,59.7,100%,,#N/A,82.8
Ronbus,XPRO EV1.T700.R3,16,New,$180.00,Elongated,Unibody Edgeless,Peel Ply-Fine,Toray Carbon Fiber,EVA Foam,"2,210",87%,16.5,7.5,5.50,7.9,112,36%,5.70,16%,23.7,34%,59.6,99%,,#N/A,82.8
Selkirk,Epic Vanguard,16,New,$200.00,Standard,Cold Layered,Grit,Carbon Fiber,Polypropylene Honeycomb,"1,285",9%,15.8,8.0,5.25,7.9,,,,,,,,,,,
Selkirk,Invikta Amped,16,Used-3 months,$150.00,Elongated,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,220",6%,16.5,7.4,5.25,7.3,109,27%,,,,,,,,,
Selkirk,Luxx Control Air Invikta,20,New,$250.00,Elongated,Unibody Edgeless,Grit,Fiberglass & Carbon Fiber,Polypropylene Honeycomb,"2,229",88%,16.5,7.5,5.35,8.1,120,72%,5.96,33%,24.4,76%,51.6,4%,33.1,10%,87.3
Selkirk,Project 003,20,New,$333.00,Standard,Unibody Edgeless,Grit,3K Woven Carbon Fiber,Polypropylene Honeycomb,"1,903",43%,15.9,7.9,5.25,7.7,,,,,,,,,,,
Selkirk,SLK Halo Power XL,13,New,$140.00,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"1,849",33%,16.4,7.4,5.75,7.5,115,49%,5.27,6%,24.2,66%,51.9,8%,31.7,3%,89.7
Selkirk,Vanguard Power Air Invikta,12.7,New,$250.00,Elongated,Unibody Edgeless,Grit,Fiberglass & Carbon Fiber,Polypropylene Honeycomb,"2,176",81%,16.5,7.4,5.25,7.8,106,14%,5.31,7%,23.1,16%,52.6,15%,35.8,92%,84.2
Selkirk,Vanguard Power Air Invikta,12.7,Used-1 month,$250.00,Elongated,Unibody Edgeless,Grit,Fiberglass & Carbon Fiber,Polypropylene Honeycomb,"1,172",5%,16.5,7.4,5.25,7.8,106,14%,5.31,7%,23.1,16%,52.6,15%,35.8,92%,84.2
Selkirk,Vanguard Power Air S2,12.7,New,$250.00,Standard,Unibody Edgeless,Grit,Fiberglass & Carbon Fiber,Polypropylene Honeycomb,"2,077",64%,15.8,8.0,5.38,7.8,,,,,,,,,,,84.2
Six Zero,Double Black Diamond,16,New,$180.00,Hybrid,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"2,062",62%,16.3,7.7,5.50,8.1,114,44%,6.66,73%,23.9,49%,54.7,58%,33.6,22%,90.8
Six Zero,Double Black Diamond,14,New,$180.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,077",64%,16.3,7.7,5.50,8.1,112,36%,6.33,54%,23.6,33%,53.7,38%,35.1,78%,88.5
Six Zero,Double Black Diamond (Early Batch),16,New,$180.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,186",82%,16.3,7.7,5.50,8.1,,,,,,,,,,,
Six Zero,Infinity Black Diamond,16,New,$220.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Fiberglass,Polypropylene Honeycomb,"2,273",92%,16.3,7.7,5.50,8.0,106,19%,5.70,16%,23.0,15%,54.5,53%,35.2,82%,92.7
Six Zero,Infinity Double Black Diamond ,16,New,$220.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,077",64%,16.3,7.7,5.50,8.1,110,28%,5.80,28%,23.2,19%,53.6,37%,34.6,55%,94.7
Six Zero,Ruby,16,New,$199.00,Hybrid,Thermoformed,Peel Ply-Coarse,Dupont Kevlar,Polypropylene Honeycomb,"2,271",92%,16.3,7.7,5.50,8.3,117,58%,6.81,85%,23.7,34%,55.6,83%,34.5,52%,91.0
Six Zero ,Black Diamond Power,16,New,$180.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Fiberglass,Polypropylene Honeycomb,"2,217",88%,16.3,7.7,5.50,8.0,116,54%,6.76,79%,23.7,34%,55.3,77%,34.6,55%,88.2
Six Zero ,Black Diamond Power (Early Batch),16,New,$180.00,Hybrid,Thermoformed,Peel Ply-Coarse,Toray Fiberglass,Polypropylene Honeycomb,"2,329",97%,16.3,7.7,5.50,8.1,,,,,,,,,,,88.2
Speedup,Fire 14,14,New,$119.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,016",57%,16.5,7.5,6.00,7.8,117,58%,5.85,29%,24.3,74%,54.7,58%,35.1,78%,92.7
Speedup,Ice 16,16,New,$119.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,863",36%,16.5,7.5,6.00,7.8,122,80%,6.05,38%,24.9,96%,54.9,64%,33.4,14%,92.3
Vatic Pro,Flash,14,New,$139.99,Hybrid,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"2,174",81%,16.3,7.7,5.30,8.1,,,,,,,,,,,
Vatic Pro,Prism Flash,16,New,$99.99,Hybrid,Hybrid,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,200",83%,16.3,7.7,5.30,7.8,111,33%,6.25,52%,24.0,55%,52.8,21%,33.4,14%,94.3
